product_name,comment_header,comment,rating
HK Vitals Biotin,Pretty good,"This is a just biotin so if you think this proudct for gives you thick hair and gives new hair so you are wrong,This product just made your hair strong thast it And just maintain your diet then this prouduct will Works properly.READ MORE",4
HK Vitals Biotin,Simply awesome,"Guys i'm writing this review merely after 4 days of commencing this tablet, i am suffering from almost 5 years of hair loss and hair thinning, i have done every kind of treatments from my own obviously, but nothing much happens, in my case my hairs are regrowing but it grows thin but i too suffering from sever hair fall due to which my hairs from temple from where i am parting my hairs those hairs become so thin that it seems like it is receded from there. Guys, beleive me, this is really eff...READ MORE",5
HK Vitals Biotin,Worth every penny,"Being a doctor, I know the effect of Biotin and HK vitals proof it's variety and quality. This product has awesome effect. So I highly recommended to you all.READ MORE",5
HK Vitals Biotin,Brilliant,Nice product 2month tablet.....READ MORE,5
HK Vitals Biotin,Terrific,Biotin tabkets are always goodREAD MORE,5
HK Vitals Biotin,Very Good,"4 star for everything,Remaining 1 star if it does the work for what it is 🙂.Will update after the use.READ MORE",4
HK Vitals Biotin,Good quality product,"I thought i should review after one month so here it is. I am having one pill a day everyday for a month now and honestly, there hasn't been much changes. It has certainly improved the quality and quantity of my hair. Even my beard has improved too. My hair has become a bit thicker and my hair fall has decreased a bit although i have good and bad days for that. Matters have become better and I'm left a bit hairy than I used to be one month before, but it's a really little change. Still a long...READ MORE",4
HK Vitals Biotin,Super!,This product help in hair and nails it's very good product thanks healthkartREAD MORE,5
HK Vitals Biotin,Delightful,GoodREAD MORE,4
HK Vitals Biotin,Simply awesome,10/10 for this product.... i have it for 2 months and it stopped my hairfall completely...READ MORE,5
HK Vitals Biotin,Highly recommended,all healtkart product are very well as compared to others company the biotin is very helpful for your bodyREAD MORE,5
HK Vitals Biotin,Very Good,"Honestly, This tablet works, after a month you will notice your hair fall has stopped. And boosts growth to your existing hair. Keep in mind, This won’t grow new hairs.READ MORE",4
HK Vitals Biotin,Must buy!,I am used it ..10 days result is Very Good. Good Medicine for Skin and  Hair Care. Hair damage stopped in completelyREAD MORE,5
HK Vitals Biotin,Must buy!,"Awesome tablet !! Can see the results in less than a week ,I was having extreme hairfall as a result of  covid & dandruff, but now the issue have be resolved and my hair is more strong than before.I am not saying that the hairfall is fully stopped ,it's still there but the amount have been decreased abruptlyThe main side-effect i felt was ;it made my skin complexion 1 shade darkREAD MORE",5
HK Vitals Biotin,Fabulous!,I order it 2nd time ✌️ and really it's effective 👍thank you flipkart ☺️❤️READ MORE,5
HK Vitals Biotin,Terrific,Worth the moneyREAD MORE,5
HK Vitals Biotin,Useless product,"3 months completed. Never missed the dosage. Maintained my diet. Reduced my alcohol consumption,  still 0 affect. Hair fall is still there, no changes in hair quality, as hair fall is still there which means no chance of new hair grow. This is waste of money. Now I will be buying BIOTINE from WOW. Let see,  what will be the results.READ MORE",5
HK Vitals Biotin,Don't waste your money,"I don't smoke, I workout regularly, my diet is good and clean, I take protein and other vitamins as much as my body needs still this product didn't work  for me even after using it for almost two months, so now I believe we must consult doctor before purchasing these kind of stuffs because they don't work for everyone, and I think it's not worth wasting so much time  when we aren't sure wether it will work or not.READ MORE",3
HK Vitals Biotin,Terrific purchase,"Trust me it's very effective,I've been using this over a month...and I've seen a great result in my hair growth, earlier my scalp was visible but now my hair are having a better growthREAD MORE",No rating
HK Vitals Biotin,Fair,I got this type of tablets...READ MORE,No rating
HK Vitals Biotin,Wonderful,I'll post my review after using these Teny-tiny tabletsREAD MORE,5
HK Vitals Biotin,Best in the market!,Everyone is best in their own work... Best🔥🔥🔥very effective not side effects 😎READ MORE,5
HK Vitals Biotin,Utterly Disappointed,not works...READ MORE,4
HK Vitals Biotin,Nice product,Nice productREAD MORE,4
HK Vitals Biotin,Good quality product,"Just now started using, will update the results soonREAD MORE",4
HK Vitals Biotin,Good choice,It's a good productREAD MORE,5
HK Vitals Biotin,Awesome,Healthkart is reliable for all your suppliment needs . I got this one to prevent hair loss and its working as Magic.READ MORE,4
HK Vitals Biotin,Delightful,After using one week my hairfall is almost stop and nail growth increased.......but it is not quite effective to improve skin......it is good for mainly nail and besides hair.... value for money.....READ MORE,5
HK Vitals Biotin,Classy product,"It's definately effective for men women both , my mom had covid after that her hair fall started at alarming rate i told her to yake one tablet a day , within 10 days her hair fall reduced and now when its about 25 days her hairs looks like they were before (before covid ). But when i took it for myself it increased my hairgrowth but didn't increased hair density maybe it can increase even density after taking it for some more timeREAD MORE",4
HK Vitals Biotin,Pretty good,"Well I was experiencing hairfall right from July 2020 till February. im still in my early 20's so i was pretty scared to bald soon. I looked up many pills and looking at the reviews I choose this brand and I wanted to give it a shot. and I've been trying it since 2 months now. and i must tell you, my hair has stopped by 80% and i plan on buying more for better results, along with these pills i also had multivitamin . so feel free to try it. hopefully, it'll work for u too.READ MORE",No rating
HK Vitals Biotin,Nice,I am now taking 2nd bottle but effect not yet reflected..let's see some more daysREAD MORE,3
HK Vitals Biotin,Worth every penny,Biotin good pradoctREAD MORE,5
HK Vitals Biotin,Awesome,Very nice product 💕😊READ MORE,5
HK Vitals Biotin,Delightful,Not badREAD MORE,4
HK Vitals Biotin,Pretty good,Nice packing..... helpful to stop hair fall and improve nails health.READ MORE,4
HK Vitals Biotin,Moderate,After 20 days of use ...No any change in health of hairs ...READ MORE,3
HK Vitals Biotin,Hated it!,"I buy this for prevent hairfall.. But it's not working.. I use 50 or more pills, but no result.. So don't waste your moneyREAD MORE",5
HK Vitals Biotin,Does the job,goodREAD MORE,5
HK Vitals Biotin,Simply awesome,Nice!!READ MORE,No rating
HK Vitals Biotin,Mind-blowing purchase,Osm product for hair and skin such a great product HKREAD MORE,No rating
HK Vitals Biotin,Really Nice,"It's good for your skin, hair & nails. Well I got results in just 15 days. Next order I'm going to order 120 tabs. 👍READ MORE",4
HK Vitals Biotin,Just okay,I dont feel anything betterREAD MORE,3
HK Vitals Biotin,Brilliant,Very osm tablets 😘😘😘😘READ MORE,5
HK Vitals Biotin,Best in the market!,"Biotin also called Vitamin H , is good for the hair and nail growth.READ MORE",5
HK Vitals Biotin,Terrible product,Worst product. Review after 3 moths of usage. No result only money waste.READ MORE,5
HK Vitals Biotin,Simply awesome,Gud product 😉👍READ MORE,5
HK Vitals Biotin,Brilliant,M using this and its so effective good for hair nails and skinREAD MORE,4
HK Vitals Biotin,Not recommended at all,Never missed a single dose...But it's waste of money only..... Really Disappointed 😞😞READ MORE,5
HK Vitals Biotin,Pretty good,As mentioned the tables size is small. After using it for 30days iam giving this review. I feel like the hair growth mainly depends upon the testosterone and imunety in each individual. In my case the facial hair growth has boosted and the patches have also started hair follicles growth slowly very tiny thin follicles growth it takes around 3-6months depending upon individual's.This product is recommended for the hair growth along with minoxidle it gives great results. Iam using it along wit...READ MORE,No rating
HK Vitals Biotin,Fabulous!,its to goodREAD MORE,No rating
HK Vitals Biotin,Best in the market!,"I'm writing this review after one month of use , now i can indentify the changes on my skin and hair , skin looks more healthy and shiney and I feel growth in my hair volume + my wife's hair fall problem decreased nearby 90% , so I'm very much happy after using this product , thanks to Health kart and Flipkart for this service 👍🏼READ MORE",5
HK Vitals Biotin,Excellent,Nice ❣READ MORE,5
HK Vitals Biotin,Just wow!,Great productREAD MORE,5
HK Vitals Biotin,Just wow!,Naice productREAD MORE,5
HK Vitals Biotin,Must buy!,Wander full thanks biotin hairREAD MORE,5
HK Vitals Biotin,Must buy!,genuine product.READ MORE,5
HK Vitals Biotin,Mind-blowing purchase,The delivery boy was so nice...READ MORE,5
HK Vitals Biotin,Horrible,Bad 😞 productLost 😞 moneyDon't buy this productREAD MORE,4
HK Vitals Biotin,Don't waste your money,"After using 20 days i got skin lightening effect but there was a side effect also such as itching eyes, redness in eyes ..eyes problem...so i stopped consumption of this...if you experience any side effect immediately stop this otherwise it worked ...READ MORE",No rating
HK Vitals Biotin,Very Good,I am using this Product before 1 Month and I feel something new on my face hair and body. But unable to stop my hair fallREAD MORE,No rating
HK Vitals Biotin,Worth every penny,GoodREAD MORE,5
HK Vitals Biotin,Bad quality,1 bottle is about to finish..haven't seen any differenceREAD MORE,3
HK Vitals Biotin,Does the job,No improvement observed after taking it more than 15 days. No side effects also so rated 3.READ MORE,5
HK Vitals Biotin,Best in the market!,All thing is good I m trying it right nowREAD MORE,5
HK Vitals Biotin,Horrible,I read reviews of this when I want to buy but now I know it's not gets results for all . Not showing any growth in hair strength hairs not getting strengthy remains as it isREAD MORE,4
HK Vitals Biotin,Brilliant,GoodREAD MORE,5
HK Vitals Biotin,Very Good,"If your hair is weak then you must use it , definitely this product give you a better result for strong hair .But not for shiny hair that's why I reduce one star.READ MORE",3
HK Vitals Biotin,Must buy!,Very niceREAD MORE,No rating
HK Vitals Biotin,Fair,This product worth well doesn't grow new hair but it helps preventing hair lossREAD MORE,No rating
HK Vitals Biotin,Did not meet expectations,Worst productREAD MORE,No rating
HK Vitals Biotin,Slightly disappointed,Not goodREAD MORE,5
HK Vitals Biotin,Terrific,GoodREAD MORE,5
HK Vitals Biotin,Great product,NiceREAD MORE,5
HK Vitals Biotin,Excellent,worth the priceREAD MORE,5
HK Vitals Biotin,Perfect product!,I recieved my product within 2 days of order product was best and delivery boy's behaviour is very very very  goodREAD MORE,4
HK Vitals Biotin,Nice product,GoodREAD MORE,5
HK Vitals Biotin,Must buy!,Really workedREAD MORE,4
HK Vitals Biotin,Very Good,goodREAD MORE,5
HK Vitals Biotin,Terrific purchase,niceREAD MORE,5
HK Vitals Biotin,Perfect product!,"I liked packing and delivery, product alsoREAD MORE",No rating
HK Vitals Biotin,Waste of money!,no effects thoughREAD MORE,4
HK Vitals Biotin,Wonderful,Using from 15 days ....Need to complete 90 pillsAmezing effects...Changes 1. Thickness 2.hair fallDrastically controlled after 3 to 5 daysREAD MORE,4
HK Vitals Biotin,Good choice,Tiny tabs let's see the effect.READ MORE,5
HK Vitals Biotin,Waste of money!,No results ☹️READ MORE,5
HK Vitals Biotin,Super!,goodREAD MORE,5
HK Vitals Biotin,Awesome,"It is very good product, I take this health kart biotin only 5 days, results is good, wow nice to this product... I have suggested to you all, buy this health kart biotin and enjoy & happy all times...READ MORE",5
HK Vitals Biotin,Horrible,Don't buy this unless your doctor suggests you to!  I had digestive system related side affects after 5 days of having  it.READ MORE,No rating
HK Vitals Biotin,Highly recommended,Nice..READ MORE,No rating
HK Vitals Biotin,Bad quality,"Not so sturdy container. Tablets stuck with each other, for the best known to themREAD MORE",No rating
HK Vitals Biotin,Simply awesome,I had an amazing result after using this suppliment for almost 1 months...if the underlying cause of hairfall ie dandruff or any other health related issue is solved then only u can get the best results from this suppliment...my hair structure have improved and strengthend.READ MORE,No rating
HK Vitals Biotin,Awesome,Best ever medicine it has stopped my hair fall.READ MORE,5
HK Vitals Biotin,Excellent,Under observationREAD MORE,5
HK Vitals Biotin,Hated it!,Bed quality not effectREAD MORE,4
HK Vitals Biotin,Unsatisfactory,"Doesn't have any effect.. inspite of solving hair issues, it darkened my skin tone..READ MORE",5
HK Vitals Biotin,Not recommended at all,not visible results in 3 monthsREAD MORE,No rating
HK Vitals Biotin,Not recommended at all,"Pathetic product don't buy without returns policy, i ordered this product last month it was delivered on time, and all of a sudden the tablets became powder I called Flipkart customer care but they said my product has no return policy, so I request all the buyers not to buy any product without returns policy, thank uREAD MORE",No rating
HK Vitals Biotin,Very poor,"Bad produt , Hairfall increase after using...READ MORE",No rating
HK Vitals Biotin,Very poor,This side effect is very dangerous to me.My whole abdomen suffer in pain for 2daysREAD MORE,No rating
HK Vitals Biotin,Really Nice,"This product is best for first phase for hair falling, when I use it for first time, I order this.After taking 20 tablets I saw result.But for problem I am unable to order more pack.Then I stopped using this.After 2 month I decide to order it,now I am taking it regularly thanks Healthkart and Flipkart.........READ MORE",No rating
HK Vitals Biotin,Great product,ExcellentREAD MORE,No rating
HK Vitals Biotin,Mind-blowing purchase,Best qualityREAD MORE,5
HK Vitals Biotin,Best in the market!,Very niceREAD MORE,5
HK Vitals Biotin,Just wow!,Product is very effective. It really helps in hair growth and promotes in healthy hair.I was suffering from hair loss in the middle of my head but after 1 month use I can feel the new hair on that area and even area is quite dense now from the earlier.READ MORE,5
